epoch,lr,train_loss,val_dice,val_iou,val_mae,val_precision,val_recall
1,0.0001,0.5489528077404674,0.8030636608600616,0.7022296547889709,0.25563825815916064,0.7400572538375855,0.9270987570285797
2,9.999728588359285e-05,0.4732124362050033,0.8335253715515136,0.7461889564990998,0.23326064497232438,0.8034925818443298,0.9120788991451263
3,9.998914383200485e-05,0.44377670673335473,0.815650349855423,0.7251502811908722,0.2167757362127304,0.7660674571990966,0.9415431499481202
4,9.997557473810371e-05,0.4189651641176968,0.8469502389431,0.766732656955719,0.2053680419921875,0.8197066307067871,0.9310936689376831
5,9.995658008989348e-05,0.40118737300721613,0.862756359577179,0.785664314031601,0.1881816118955612,0.8316741466522217,0.9365818679332734
6,9.993216197035139e-05,0.3790413094003026,0.8694594860076904,0.7989739537239074,0.16654535979032517,0.8499200701713562,0.9334204792976379
7,9.990232305719943e-05,0.3599959728194446,0.8731179356575012,0.8033872425556183,0.15236902087926865,0.8608902156352997,0.931543505191803
8,9.986706662261065e-05,0.3402063355940144,0.8786179780960083,0.8028289973735809,0.13976240083575248,0.8348641335964203,0.9563208997249604
9,9.982639653285045e-05,0.3225611321082929,0.8752730309963226,0.8044419646263122,0.13268404826521873,0.8504339575767517,0.946792620420456
10,9.978031724785244e-05,0.30819046133902017,0.8878069758415222,0.8217554926872254,0.11832852363586426,0.8941695392131805,0.9091667115688324
11,9.972883382072951e-05,0.29161255715823753,0.8814100563526154,0.8096486091613769,0.106941207498312,0.8492609024047851,0.9510923504829407
12,9.96719518972196e-05,0.27694158946595543,0.9002516448497773,0.8357194840908051,0.09149471521377564,0.9146009922027588,0.9139711678028106
13,9.960967771506664e-05,0.26536098631416877,0.8954962849617004,0.8265361666679383,0.09213549196720124,0.8736458063125611,0.9465547740459442
14,9.954201810333643e-05,0.24695927177260563,0.9033291697502136,0.8438963711261749,0.08445157185196876,0.9114547789096832,0.925977373123169
15,9.94689804816679e-05,0.23148907194050347,0.8935378313064575,0.8246995866298675,0.08668863102793693,0.8745920240879059,0.9417714655399323
16,9.93905728594593e-05,0.22116884316613034,0.8816507160663605,0.8150493085384369,0.07959784343838691,0.8808962523937225,0.9162387430667878
17,9.930680383498997e-05,0.2075464781828043,0.8978453576564789,0.8315753638744354,0.06516207419335843,0.8943385481834412,0.9288059949874878
18,9.921768259447744e-05,0.19780361034521243,0.9039063096046448,0.8411741852760315,0.06365522854030133,0.9182030558586121,0.9155619025230408
19,9.912321891107008e-05,0.18439613455315915,0.889495187997818,0.8236639738082886,0.05772669166326523,0.9083433091640473,0.9067695260047912
20,9.902342314377522e-05,0.183532527216324,0.8938048481941223,0.8323308110237122,0.060668937489390375,0.9118180513381958,0.9063380658626556
21,9.891830623632336e-05,0.17416526431717524,0.8957727134227753,0.830743807554245,0.05573147162795067,0.9002406895160675,0.9227694272994995
22,9.880787971596798e-05,0.16279649561861667,0.8858954668045044,0.8200606942176819,0.059344717860221864,0.8905075430870056,0.9169265449047088
23,9.869215569222141e-05,0.15722264940055405,0.890931886434555,0.826377683877945,0.05502098612487316,0.8984252274036407,0.9073334217071534
24,9.857114685552697e-05,0.15393038239420914,0.9095098853111268,0.8457677900791168,0.0433018758893013,0.8953966617584228,0.9411388218402863
25,9.844486647586722e-05,0.1421968661612127,0.8988310933113098,0.835036301612854,0.0445243526250124,0.8862026274204254,0.9398125946521759
26,9.831332840130885e-05,0.14097902478604782,0.8980834722518921,0.8313246965408325,0.047265752032399175,0.8781882047653198,0.9463227689266205
27,9.817654705648406e-05,0.1301185738567899,0.901435261964798,0.8393824875354767,0.04451113007962704,0.9024277687072754,0.9303086638450623
28,9.803453744100867e-05,0.12610466514782206,0.9156067371368408,0.8550348877906799,0.03928700760006905,0.9049061954021453,0.9421613276004791
29,9.788731512783731e-05,0.1250929909690124,0.9049644827842712,0.8425214409828186,0.041080042719841,0.9112238109111785,0.9243373453617096
30,9.773489626155569e-05,0.11706429111157976,0.908146983385086,0.847658920288086,0.041159627586603166,0.9018279552459717,0.9383310317993164
31,9.75772975566101e-05,0.11049082702616365,0.9019214570522308,0.8391897082328796,0.038103781454265115,0.8840130984783172,0.9491842448711395
32,9.741453629547449e-05,0.10691962822726588,0.9131213009357453,0.8548713743686676,0.03709417469799518,0.9104677617549897,0.937394767999649
33,9.72466303267553e-05,0.10977802116696428,0.9025662839412689,0.8393743216991425,0.033872563391923904,0.9056062877178193,0.9244481205940247
34,9.707359806323415e-05,0.10388400932637656,0.9195523858070374,0.8606368243694306,0.030852741561830044,0.916656619310379,0.9354901134967804
35,9.689545847984861e-05,0.10575277830769376,0.9053662896156311,0.8491470456123352,0.032291099056601526,0.9381238579750061,0.904546570777893
36,9.671223111161146e-05,0.1051908127236657,0.8930817306041717,0.8323113262653351,0.03735402263700962,0.9178102493286133,0.9063489735126495
37,9.652393605146843e-05,0.09713891380262084,0.8976960897445678,0.833045917749405,0.033043059147894384,0.8962858021259308,0.9275148928165435
38,9.633059394809473e-05,0.1004275503772788,0.8878357708454132,0.8246257424354553,0.04503264613449574,0.8826431214809418,0.932402104139328
39,9.613222600363077e-05,0.09488095592979978,0.9108411431312561,0.850306260585785,0.030920361168682575,0.9031927704811096,0.9365141212940216
40,9.592885397135706e-05,0.09517575714101152,0.909408974647522,0.8508842885494232,0.03139630351215601,0.915654307603836,0.9253658413887024
41,9.572050015330873e-05,0.09937305121523578,0.9094690620899201,0.8531857609748841,0.02902930313721299,0.9114031374454499,0.923869651556015
42,9.550718739782988e-05,0.09271011324372233,0.91791051030159,0.8610807001590729,0.02507894076406956,0.918839055299759,0.9354663789272308
43,9.528893909706796e-05,0.08970649381418054,0.8991059720516205,0.8362132370471954,0.031658864300698045,0.9423879265785218,0.8819180846214294
44,9.506577918440858e-05,0.09150354641421539,0.9128970324993133,0.8514345347881317,0.02889808937907219,0.8994515776634217,0.946393483877182
45,9.483773213185093e-05,0.08645924226176448,0.9053975522518158,0.8464091777801513,0.027661018166691066,0.91064732670784,0.9277396082878113
46,9.46048229473242e-05,0.08615371416799905,0.918096125125885,0.8592948317527771,0.028307167533785104,0.9056449115276337,0.9461728274822235
47,9.436707717194512e-05,0.08577860923620259,0.9181544005870819,0.8602716147899627,0.027616401109844445,0.9079047501087188,0.943643856048584
48,9.41245208772171e-05,0.07358913636970811,0.9203775942325592,0.8654820144176483,0.02491699019446969,0.9264919579029083,0.9264678657054901
49,9.387718066217124e-05,0.082685673245933,0.901227068901062,0.84182568192482,0.02735962253063917,0.9119831681251526,0.9229241967201233
50,9.362508365044939e-05,0.08406362491773396,0.910040020942688,0.8535048425197601,0.028039891459047794,0.9210303127765656,0.9271343350410461
51,9.336825748732972e-05,0.08234597233737387,0.9021111249923706,0.8403617560863494,0.033587324805557726,0.8919078409671783,0.9419280767440796
52,9.310673033669521e-05,0.08452679657536309,0.9088109254837036,0.848528653383255,0.028520516585558653,0.9056800663471222,0.9368080794811249
53,9.284053087794508e-05,0.07751671988062742,0.9174748837947846,0.8607662439346313,0.02553188558667898,0.9245127260684967,0.9287600338459014
54,9.256968830284976e-05,0.07282836035620875,0.9057620704174042,0.8459819555282593,0.029055343102663757,0.9073076844215393,0.9332265198230744
55,9.229423231234974e-05,0.07683907744542855,0.9142266392707825,0.8583366930484772,0.02527932161465287,0.9159588873386383,0.9309236943721771
56,9.20141931132985e-05,0.07397768464757175,0.9130095541477203,0.853796535730362,0.030707394890487193,0.9026423037052155,0.9444528162479401
57,9.172960141514993e-05,0.07260938851935107,0.911175400018692,0.8561046421527863,0.02718756515532732,0.9157530784606933,0.9286773979663849
58,9.14404884265908e-05,0.06883254202037323,0.9143424272537232,0.8550301730632782,0.027937325462698937,0.9042701661586762,0.9455166697502136
59,9.114688585211836e-05,0.07259699338819922,0.9069511294364929,0.8494485795497895,0.027207067329436542,0.9100537896156311,0.9266475558280944
60,9.084882588856343e-05,0.07338259264645053,0.9103955268859864,0.8511037588119507,0.028380882181227206,0.9003767907619477,0.9384550034999848
61,9.05463412215599e-05,0.06983847988814842,0.9099343121051788,0.8542386054992676,0.024766574893146754,0.9226637363433838,0.920341032743454
62,9.023946502196018e-05,0.07175033112488143,0.9197462201118469,0.8624229073524475,0.0244338920339942,0.9230718553066254,0.9332349359989166
63,8.992823094219772e-05,0.0695512056714151,0.9057229280471801,0.8471838057041168,0.02858629934489727,0.8974973201751709,0.9385444343090057
